order,reference_name,achievement_id,point_value,hidden,repeatable,image,en_display_name,en_pre_earned_description,en_earned_description,ru_display_name,ru_pre_earned_description,ru_earned_description
1,Fast Start,challenge.tile_64_in_35_moves,15,false,false,icons/01-fast-start.png,Fast Start,Create a 64 tile within 35 moves in a Classic 4x4 game,You created a 64 tile within 35 moves in a Classic 4x4 game,Быстрый старт,Создайте тайл 64 не более чем за 35 ходов в классическом режиме 4×4,Вы создали тайл 64 не более чем за 35 ходов в классическом режиме 4×4
2,High Five Hundred,challenge.score_500,15,false,false,icons/02-high-five-hundred.png,High Five Hundred,Score 500 points in a Classic 4x4 game,You scored 500 points in a Classic 4x4 game,Первые пятьсот,Наберите 500 очков в классическом режиме 4×4,Вы набрали 500 очков в классическом режиме 4×4
3,Rapid Growth,challenge.tile_128_in_70_moves,25,false,false,icons/03-rapid-growth.png,Rapid Growth,Create a 128 tile within 70 moves in a Classic 4x4 game,You created a 128 tile within 70 moves in a Classic 4x4 game,Быстрый рост,Создайте тайл 128 не более чем за 70 ходов в классическом режиме 4×4,Вы создали тайл 128 не более чем за 70 ходов в классическом режиме 4×4
4,Precision Builder,challenge.tile_256_in_140_moves,40,false,false,icons/04-precision-builder.png,Precision Builder,Create a 256 tile within 140 moves in a Classic 4x4 game,You created a 256 tile within 140 moves in a Classic 4x4 game,Точный расчёт,Создайте тайл 256 не более чем за 140 ходов в классическом режиме 4×4,Вы создали тайл 256 не более чем за 140 ходов в классическом режиме 4×4
5,Halfway Hero,challenge.tile_512,50,false,false,icons/05-halfway-hero.png,Halfway Hero,Create a 512 tile in a Classic 4x4 game,You created a 512 tile in a Classic 4x4 game,Полпути к цели,Создайте тайл 512 в классическом режиме 4×4,Вы создали тайл 512 в классическом режиме 4×4
6,Serious Scorer,challenge.score_5000,50,false,false,icons/06-serious-scorer.png,Serious Scorer,"Score 5,000 points in a Classic 4x4 game","You scored 5,000 points in a Classic 4x4 game",Серьёзный счёт,Наберите 5 000 очков в классическом режиме 4×4,Вы набрали 5 000 очков в классическом режиме 4×4
7,Endurance Run,challenge.moves_500,65,false,false,icons/07-endurance-run.png,Endurance Run,Make 500 valid moves in a Classic 4x4 game,You made 500 valid moves in a Classic 4x4 game,Испытание на выносливость,Сделайте 500 результативных ходов в классическом режиме 4×4,Вы сделали 500 результативных ходов в классическом режиме 4×4
8,Almost There,challenge.tile_1024,75,false,false,icons/08-almost-there.png,Almost There,"Create a 1,024 tile in a Classic 4x4 game","You created a 1,024 tile in a Classic 4x4 game",Почти у цели,Создайте тайл 1 024 в классическом режиме 4×4,Вы создали тайл 1 024 в классическом режиме 4×4
9,Five Figures,challenge.score_10000,75,false,false,icons/09-five-figures.png,Five Figures,"Score 10,000 points in a Classic 4x4 game","You scored 10,000 points in a Classic 4x4 game",Пять цифр,Наберите 10 000 очков в классическом режиме 4×4,Вы набрали 10 000 очков в классическом режиме 4×4
10,Journey Complete,challenge.tile_2048,90,false,false,icons/10-journey-complete.png,Journey Complete,"Create the legendary 2,048 tile in a Classic 4x4 game","You created the legendary 2,048 tile in a Classic 4x4 game",Путь пройден,Создайте легендарный тайл 2 048 в классическом режиме 4×4,Вы создали легендарный тайл 2 048 в классическом режиме 4×4
